Timestamp,Email address,Kode Member,Nama,Tanggal Belanja,Total Belanja,Point,Keterangan
,,BR1009,Nasim Nashiruddin,03/03/2024,475000,47
",,BR4879,""Rina Suwarno, M.Kom."",01/05/2024,64000,6"
",,BR4879,""Rina Suwarno, M.Kom."",12/03/2024,117000,11"
",,BR4879,""Rina Suwarno, M.Kom."",03/05/2024,135000,13"
",,BR4915,""Tgk. Ian Safitri, S.E.I"",13/04/2024,304000,30"
",,BR4915,""Tgk. Ian Safitri, S.E.I"",22/04/2024,263000,26"
,,BR5169,Cut Ulva Prasetya,06/01/2024,712000,71
,,BR5169,Cut Ulva Prasetya,28/05/2024,844000,84
,,BR5169,Cut Ulva Prasetya,08/03/2024,856000,85
,,BR5310,Drs. Gara Waskita,13/01/2024,400000,40
,,BR5310,Drs. Gara Waskita,23/03/2024,917000,91
,,BR5445,Lasmono Anggraini,07/01/2024,199000,19
,,BR5445,Lasmono Anggraini,11/03/2024,603000,60
,,BR5528,Hj. Eka Maheswara,24/03/2024,735000,73
,,BR5528,Hj. Eka Maheswara,23/04/2024,337000,33
,,BR5528,Hj. Eka Maheswara,06/04/2024,344000,34
,,BR5530,Tgk. Prabawa Nurdiyanti,13/01/2024,613000,61
,,BR5530,Tgk. Prabawa Nurdiyanti,01/02/2024,875000,87
",,BR5641,""Dt. Timbul Setiawan, S.Kom"",04/04/2024,182000,18"
",,BR5724,""Jindra Lestari, S.Sos"",11/03/2024,546000,54"
",,BR5724,""Jindra Lestari, S.Sos"",25/04/2024,860000,86"
,,BR5845,Rafi Novitasari,17/03/2024,153000,15
,,BR5845,Rafi Novitasari,03/05/2024,526000,52
,,BR5902,T. Maras Sitompul,18/02/2024,285000,28
",,BR5960,""Ir. Bakda Pangestu, S.IP"",06/03/2024,191000,19"
",,BR5960,""Ir. Bakda Pangestu, S.IP"",25/04/2024,387000,38"
",,BR5960,""Ir. Bakda Pangestu, S.IP"",21/04/2024,462000,46"
",,BR6014,""Limar Natsir, S.E."",07/04/2024,21000,2"
",,BR6014,""Limar Natsir, S.E."",11/05/2024,397000,39"
,,BR6034,Ajeng Saptono,17/03/2024,441000,44
,,BR6034,Ajeng Saptono,18/05/2024,529000,52
,,BR6111,Fitria Budiman,27/02/2024,884000,88
,,BR6134,Ina Haryanti,15/04/2024,512000,51
,,BR6134,Ina Haryanti,13/01/2024,217000,21
",,BR6285,""Makuta Kurniawan, S.H."",29/05/2024,23000,2"
",,BR6285,""Makuta Kurniawan, S.H."",09/01/2024,750000,75"
,,BR6475,Tgk. Darijan Yulianti,21/04/2024,287000,28
,,BR6475,Tgk. Darijan Yulianti,12/03/2024,860000,86
,,BR6475,Tgk. Darijan Yulianti,15/02/2024,727000,72
,,BR6591,Ir. Safina Kurniawan,17/04/2024,794000,79
,,BR6591,Ir. Safina Kurniawan,05/03/2024,818000,81
,,BR6594,Harjaya Sitorus,22/05/2024,408000,40
,,BR6594,Harjaya Sitorus,01/03/2024,636000,63
,,BR6594,Harjaya Sitorus,09/05/2024,360000,36
,,BR6613,Tgk. Irsad Pangestu,17/05/2024,306000,30
,,BR6613,Tgk. Irsad Pangestu,20/01/2024,299000,29
,,BR6613,Tgk. Irsad Pangestu,04/02/2024,740000,74
,,BR6620,Sutan Endra Pangestu,19/05/2024,883000,88
,,BR6620,Sutan Endra Pangestu,02/03/2024,725000,72
,,BR6638,Ibun Narpati,14/01/2024,624000,62
,,BR6638,Ibun Narpati,25/01/2024,538000,53
",,BR6646,""Sutan Adiarja Rajata, S.Pd"",06/03/2024,237000,23"
",,BR6646,""Sutan Adiarja Rajata, S.Pd"",09/05/2024,265000,26"
,,BR6713,Asman Wacana,30/03/2024,617000,61
,,BR6713,Asman Wacana,03/02/2024,626000,62
",,BR6787,""T. Kenari Lailasari, S.Psi"",04/04/2024,679000,67"
",,BR6787,""T. Kenari Lailasari, S.Psi"",17/01/2024,991000,99"
",,BR7155,""Mujur Melani, S.IP"",19/04/2024,948000,94"
",,BR7155,""Mujur Melani, S.IP"",08/02/2024,475000,47"
,,BR7215,Irma Wasita,10/02/2024,138000,13
,,BR7266,Emil Hutasoit,15/05/2024,366000,36
,,BR7266,Emil Hutasoit,23/03/2024,119000,11
,,BR7373,Satya Mandasari,13/04/2024,68000,6
,,BR7373,Satya Mandasari,06/04/2024,499000,49
,,BR7373,Satya Mandasari,12/03/2024,857000,85
",,BR7436,""drg. Lanjar Suryatmi, S.T."",17/05/2024,464000,46"
",,BR7470,""Dimas Uyainah, S.Psi"",09/04/2024,592000,59"
",,BR7470,""Dimas Uyainah, S.Psi"",30/01/2024,157000,15"
,,BR7502,Bakijan Megantara,12/05/2024,280000,28
,,BR7651,KH. Wisnu Uwais,20/03/2024,195000,19
,,BR7651,KH. Wisnu Uwais,11/01/2024,351000,35
,,BR7651,KH. Wisnu Uwais,03/05/2024,265000,26
,,BR7656,Kenzie Mayasari,22/04/2024,144000,14
,,BR7656,Kenzie Mayasari,08/01/2024,906000,90
,,BR7656,Kenzie Mayasari,08/02/2024,205000,20
",,BR7816,""Lidya Agustina, M.Pd"",30/04/2024,566000,56"
",,BR7816,""Lidya Agustina, M.Pd"",26/03/2024,618000,61"
",,BR7816,""Lidya Agustina, M.Pd"",02/01/2024,122000,12"
,,BR7861,Ulya Sihotang,05/02/2024,341000,34
,,BR7861,Ulya Sihotang,18/03/2024,950000,95
,,BR7923,Hilda Hidayat,05/04/2024,396000,39
,,BR7923,Hilda Hidayat,31/01/2024,353000,35
,,BR7923,Hilda Hidayat,08/02/2024,96000,9
,,BR7975,Hj. Elvina Wastuti,01/02/2024,995000,99
,,BR7975,Hj. Elvina Wastuti,10/05/2024,327000,32
,,BR8282,Salsabila Thamrin,02/04/2024,212000,21
",,BR8309,""Drs. Ira Prayoga, S.Gz"",18/02/2024,616000,61"
,,BR8323,Drs. Zaenab Sihombing,19/04/2024,260000,26
,,BR8323,Drs. Zaenab Sihombing,26/04/2024,759000,75
,,BR8323,Drs. Zaenab Sihombing,23/02/2024,322000,32
",,BR8342,""Maras Nasyidah, S.Psi"",21/03/2024,884000,88"
",,BR8342,""Maras Nasyidah, S.Psi"",17/02/2024,287000,28"
,,BR8418,Dt. Aris Samosir,07/04/2024,227000,22
,,BR8713,Zalindra Purnawati,08/03/2024,592000,59
,,BR8713,Zalindra Purnawati,06/04/2024,204000,20
",,BR8776,""Genta Thamrin, S.Ked"",13/01/2024,49000,4"
",,BR8776,""Genta Thamrin, S.Ked"",27/05/2024,747000,74"
",,BR8849,""Drs. Harsana Thamrin, M.TI."",26/02/2024,393000,39"
",,BR8849,""Drs. Harsana Thamrin, M.TI."",13/03/2024,571000,57"
",,BR8849,""Drs. Harsana Thamrin, M.TI."",09/05/2024,107000,10"
,,BR9109,Paris Salahudin,15/01/2024,786000,78
,,BR9109,Paris Salahudin,08/01/2024,496000,49
,,BR9317,Kariman Handayani,14/02/2024,807000,80
",,BR9346,""Maria Mansur, S.H."",19/05/2024,870000,87"
,,BR9439,Rini Purnawati,02/01/2024,758000,75
,,BR9439,Rini Purnawati,31/03/2024,454000,45
,,BR9439,Rini Purnawati,28/01/2024,911000,91
,,BR9496,Pia Narpati,25/03/2024,955000,95
,,BR9553,Alambana Widiastuti,08/04/2024,378000,37
,,BR9584,drg. Parman Pradana,10/04/2024,36000,3
,,BR9584,drg. Parman Pradana,31/03/2024,508000,50
,,BR9584,drg. Parman Pradana,06/02/2024,232000,23
,,BR9691,Opan Adriansyah,21/03/2024,633000,63
,,BR9725,Purwanto Waskita,23/04/2024,995000,99
,,BR9725,Purwanto Waskita,24/05/2024,985000,98
,,BR9725,Purwanto Waskita,01/02/2024,494000,49
,,BR9825,Ratih Waluyo,17/04/2024,756000,75
,,BR9825,Ratih Waluyo,31/03/2024,182000,18
,,BR9825,Ratih Waluyo,17/04/2024,586000,58
",,BR9894,""Drs. Elvina Pradipta, S.H."",13/05/2024,710000,71"
",,BR9894,""Drs. Elvina Pradipta, S.H."",06/04/2024,917000,91"
,,BR9919,Drs. Ganjaran Salahudin,13/02/2024,825000,82
,,BR9919,Drs. Ganjaran Salahudin,19/03/2024,497000,49
,,BR9919,Drs. Ganjaran Salahudin,09/05/2024,599000,59
